1050564115 function calls (1050563297 primitive calls) in 3148.538 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pp.py:612(__detect_ncpus)
        1    0.000    0.000    0.000    0.000 pp.py:69(_Task)
        1    0.000    0.000    0.000    0.000 pp.py:830(DestroyedServerError)
        1    0.000    0.000    0.000    0.000 ppauto.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ppauto.py:46(Discover)
        1    0.000    0.000    0.000    0.000 ppauto.py:49(__init__)
        1    0.000    0.000    0.000    0.000 ppcommon.py:31(<module>)
        1    0.000    0.000    0.000    0.000 pptransport.py:115(PipeTransport)
        8    0.000    0.000    0.000    0.000 pptransport.py:117(__init__)
        8    0.000    0.000    0.000    0.000 pptransport.py:127(send)
        8    0.000    0.000    0.200    0.025 pptransport.py:133(receive)
        1    0.000    0.000    0.000    0.000 pptransport.py:161(SocketTransport)
        1    0.000    0.000    0.000    0.000 pptransport.py:218(CPipeTransport)
        1    0.000    0.000    0.000    0.000 pptransport.py:222(CSocketTransport)
        1    0.000    0.000    0.000    0.000 pptransport.py:31(<module>)
        1    0.000    0.000    0.000    0.000 pptransport.py:55(Transport)
        1    0.000    0.000    0.000    0.000 pptransport.py:88(CTransport)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
        8    0.000    0.000    0.019    0.002 re.py:188(compile)
      125    0.000    0.000    0.019    0.000 re.py:229(_compile)
      118    0.000    0.000    0.004    0.000 sre_compile.py:178(_compile_charset)
      118    0.003    0.000    0.004    0.000 sre_compile.py:207(_optimize_charset)
      366    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       20    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
    265/9    0.002    0.000    0.009    0.001 sre_compile.py:32(_compile)
      118    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        9    0.000    0.000    0.002    0.000 sre_compile.py:361(_compile_info)
       18    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        9    0.000    0.000    0.010    0.001 sre_compile.py:480(_code)
        9    0.000    0.000    0.019    0.002 sre_compile.py:495(compile)
      566    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
     1189    0.001    0.000    0.002    0.000 sre_parse.py:130(__getitem__)
      118    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
      334    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
  381/127    0.001    0.000    0.002    0.000 sre_parse.py:140(getwidth)
        9    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
      937    0.001    0.000    0.002    0.000 sre_parse.py:182(__next)
      715    0.000    0.000    0.001    0.000 sre_parse.py:195(match)
      763    0.001    0.000    0.002    0.000 sre_parse.py:201(get)
       38    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       66    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
     59/9    0.001    0.000    0.008    0.001 sre_parse.py:301(_parse_sub)
    117/9    0.003    0.000    0.008    0.001 sre_parse.py:379(_parse)
        9    0.000    0.000    0.008    0.001 sre_parse.py:663(parse)
        9    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       38    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
      265    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        8    0.000    0.000    0.000    0.000 subprocess.py:1009(_get_handles)
        8    0.000    0.000    0.000    0.000 subprocess.py:1054(_set_cloexec_flag)
        8    0.001    0.000    0.007    0.001 subprocess.py:1078(_execute_child)
       36    0.000    0.000    0.000    0.000 subprocess.py:1219(_internal_poll)
        1    0.001    0.001    0.002    0.002 subprocess.py:389(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:401(CalledProcessError)
        8    0.000    0.000    0.000    0.000 subprocess.py:453(_cleanup)
        8    0.000    0.000    0.005    0.001 subprocess.py:468(_eintr_retry_call)
        1    0.000    0.000    0.000    0.000 subprocess.py:611(Popen)
        8    0.000    0.000    0.008    0.001 subprocess.py:612(__init__)
        8    0.000    0.000    0.000    0.000 subprocess.py:702(__del__)
        1    0.001    0.001    0.002    0.002 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:100(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:115(acquire)
        1    0.000    0.000    0.000    0.000 threading.py:135(release)
        2    0.000    0.000    0.000    0.000 threading.py:175(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:178(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:180(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:220(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:271(notify)
        1    0.000    0.000    0.000    0.000 threading.py:289(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:298(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:346(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:358(Event)
        1    0.000    0.000    0.000    0.000 threading.py:361(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:365(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:375(set)
        1    0.000    0.000    0.000    0.000 threading.py:414(Thread)
        1    0.000    0.000    0.000    0.000 threading.py:426(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:509(_set_ident)
        1    0.000    0.000    0.000    0.000 threading.py:56(_Verbose)
        5    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:63(_note)
        1    0.000    0.000    0.000    0.000 threading.py:711(_Timer)
        1    0.000    0.000    0.000    0.000 threading.py:740(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:742(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:749(_set_daemon)
        1    0.000    0.000    0.000    0.000 threading.py:780(_DummyThread)
        1    0.000    0.000    0.000    0.000 threading.py:95(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:98(_RLock)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:145(TokenError)
        1    0.000    0.000    0.000    0.000 tokenize.py:147(StopTokenizing)
        1    0.000    0.000    0.000    0.000 tokenize.py:178(Untokenizer)
        1    0.000    0.000    0.019    0.019 tokenize.py:23(<module>)
       19    0.000    0.000    0.000    0.000 tokenize.py:44(group)
        1    0.000    0.000    0.000    0.000 tokenize.py:45(any)
        2    0.000    0.000    0.000    0.000 tokenize.py:46(maybe)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 user.py:22(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:14(warnpy3k)
        1    0.000    0.000    0.000    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 weakref.py:47(__init__)
   485270    0.172    0.000    0.172    0.000 {_ctypes.POINTER}
      101    0.003    0.000    0.003    0.000 {_ctypes.dlopen}
        1    0.000    0.000    0.000    0.000 {_ctypes.set_conversion_mode}
       34    0.000    0.000    0.000    0.000 {_ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
